spawn,item,item_id,instant,fair,patient,price_date,n_sessions_spawn,creatures
Port Hope Water Elementals (South),strong mana potions,237,116,100,117,2026-09-14 21:18,1,Water Elemental
Liberty Bay Quara Grotto,fish,3578,3,,4,2026-09-14 21:10,1,Quara Hydromancer Scout
Liberty Bay Quara Grotto,gold coins,,,,,,1,Quara Constrictor|Quara Constrictor Scout|Quara Hydromancer|Quara Hydromancer Scout|Quara Mantassin|Quara Mantassin Scout
Liberty Bay Quara Grotto,great health potions,239,14,,15,2026-09-14 21:18,1,Quara Pincher
Liberty Bay Quara Grotto,mantassin tails,11489,1274,932,1275,2026-09-14 21:35,1,Quara Mantassin
Liberty Bay Quara Grotto,platinum coins,,,,,,1,Quara Pincher
Liberty Bay Quara Grotto,quara bones,11491,599,460,600,2026-09-14 21:37,1,Quara Predator|Quara Predator Scout
Liberty Bay Quara Grotto,quara eyes,11488,1948,1143,1949,2026-09-14 21:37,1,Quara Hydromancer|Quara Hydromancer Scout
Liberty Bay Quara Grotto,quara pincers,11490,,356,,2026-09-14 21:37,1,Quara Pincher|Quara Pincher Scout
Liberty Bay Quara Grotto,quara tentacles,11487,1374,,1375,2026-09-14 21:37,1,Quara Constrictor|Quara Constrictor Scout
Liberty Bay Quara Grotto,shrimp,3581,13,2,14,2026-09-14 21:10,1,Quara Constrictor Scout|Quara Hydromancer Scout
Yalahar Bog Raiders Central,boggy dreads,9667,2166,1494,2167,2026-09-14 21:32,1,Bog Raider
Yalahar Bog Raiders Central,demonic essence,6499,999,898,1000,2026-09-14 21:33,1,Nightmare
Yalahar Bog Raiders Central,essences of a bad dream,,,,,,1,Nightmare
Yalahar Bog Raiders Central,flasks of demonic blood,,,,,,1,Nightmare
Yalahar Bog Raiders Central,globs of acid slime ,,,,,,1,Acid Blob
Yalahar Bog Raiders Central,globs of tar ,,,,,,1,Death Blob
Yalahar Bog Raiders Central,gold coins,,,,,,1,Bog Raider|Mutated Tiger|Nightmare|Nightmare Scion
Yalahar Bog Raiders Central,ham,3582,14,,15,2026-09-14 21:10,1,Nightmare
Yalahar Bog Raiders Central,meat,3577,,,,,1,Mutated Tiger|Nightmare Scion
Yalahar Bog Raiders Central,sabreteeth,,,,,,1,Mutated Tiger
Yalahar Bog Raiders Central,scythe legs,10312,,455,,2026-09-14 21:37,1,Nightmare
Yalahar Bog Raiders Central,soul orbs,5944,29,20,30,2026-09-14 21:24,1,Nightmare
Yalahar Bog Raiders Central,striped fur,10293,989,503,990,2026-09-14 21:38,1,Mutated Tiger
Edron Were cave1,beetroots,8017,8,,9,2026-09-14 21:09,1,Werebadger
Edron Were cave1,broken helmets,11453,31,8,32,2026-09-14 21:32,1,Orc Warrior
Edron Were cave1,fox paws,27462,,918,,2026-09-14 21:34,1,Werefox
Edron Were cave1,gold coins,,,,,,1,Orc|Orc Spearman|Orc Warrior|Poison Spider|Werebadger|Werebear
Edron Were cave1,ham,3582,14,,15,2026-09-14 21:10,1,Werebear
Edron Were cave1,meat,3577,,,,,1,Orc|Orc Spearman|Orc Warrior
Edron Were cave1,plate shields,3410,,10,,2026-09-14 21:19,1,Werewolf
Edron Were cave1,platinum coins,,,,,,1,Werebadger|Werebear|Wereboar|Werefox
Edron Were cave1,spears,3277,94,1,95,2026-09-14 21:28,1,Orc Spearman
Edron Were cave1,studded legs,3362,39,,40,2026-09-14 21:12,1,Orc Spearman
Edron Were cave1,werebadger claws,22051,,688,,2026-09-14 21:39,1,Werebadger
Edron Were cave1,werebadger skulls,22055,999,,1000,2026-09-14 21:39,1,Werebadger
Edron Were cave1,werebear fur,22057,2789,2174,2790,2026-09-14 21:39,1,Werebear
Edron Were cave1,werebear skulls,22056,,1865,,2026-09-14 21:39,1,Werebear
Edron Were cave1,wereboar hooves,22053,148,96,149,2026-09-14 21:39,1,Wereboar
Edron Were cave1,wereboar tusks,22054,,942,,2026-09-14 21:39,1,Wereboar
Edron Were cave1,werefox tails,27463,1869,1328,1870,2026-09-14 21:39,1,Werefox
Edron Were cave1,werewolf fangs,22052,197,102,198,2026-09-14 21:39,1,Werewolf
Edron Were cave1,werewolf fur,10317,,1223,,2026-09-14 21:39,1,Werewolf
Edron Were cave2,beetroots,8017,8,,9,2026-09-14 21:09,1,Werebadger
Edron Were cave2,fox paws,27462,,918,,2026-09-14 21:34,1,Werefox
Edron Were cave2,gold coins,,,,,,1,Werebadger|Werebear|Wereboar|Werefox|Werewolf
Edron Were cave2,ham,3582,14,,15,2026-09-14 21:10,1,Werebear
Edron Were cave2,plate shields,3410,,10,,2026-09-14 21:19,1,Werewolf
Edron Were cave2,platinum coins,,,,,,1,Werebadger|Werebear|Wereboar|Werefox
Edron Were cave2,werebadger claws,22051,,688,,2026-09-14 21:39,1,Werebadger
Edron Were cave2,werebadger skulls,22055,999,,1000,2026-09-14 21:39,1,Werebadger
Edron Were cave2,werebear fur,22057,2789,2174,2790,2026-09-14 21:39,1,Werebear
Edron Were cave2,werebear skulls,22056,,1865,,2026-09-14 21:39,1,Werebear
Edron Were cave2,wereboar hooves,22053,148,96,149,2026-09-14 21:39,1,Wereboar
Edron Were cave2,wereboar tusks,22054,,942,,2026-09-14 21:39,1,Wereboar
Edron Were cave2,werefox tails,27463,1869,1328,1870,2026-09-14 21:39,1,Werefox
Edron Were cave2,werewolf fangs,22052,197,102,198,2026-09-14 21:39,1,Werewolf
Edron Were cave2,werewolf fur,10317,,1223,,2026-09-14 21:39,1,Werewolf
Edron Were cave3,beetroots,8017,8,,9,2026-09-14 21:09,1,Werebadger
Edron Were cave3,fox paws,27462,,918,,2026-09-14 21:34,1,Werefox
Edron Were cave3,gold coins,,,,,,1,Werebadger|Werebear|Wereboar|Werefox|Werewolf
Edron Were cave3,ham,3582,14,,15,2026-09-14 21:10,1,Werebear
Edron Were cave3,plate shields,3410,,10,,2026-09-14 21:19,1,Werewolf
Edron Were cave3,platinum coins,,,,,,1,Werebadger|Werebear|Wereboar|Werefox
Edron Were cave3,werebadger claws,22051,,688,,2026-09-14 21:39,1,Werebadger
Edron Were cave3,werebadger skulls,22055,999,,1000,2026-09-14 21:39,1,Werebadger
Edron Were cave3,werebear fur,22057,2789,2174,2790,2026-09-14 21:39,1,Werebear
Edron Were cave3,werebear skulls,22056,,1865,,2026-09-14 21:39,1,Werebear
Edron Were cave3,wereboar hooves,22053,148,96,149,2026-09-14 21:39,1,Wereboar
Edron Were cave3,wereboar tusks,22054,,942,,2026-09-14 21:39,1,Wereboar
Edron Were cave3,werefox tails,27463,1869,1328,1870,2026-09-14 21:39,1,Werefox
Edron Were cave3,werewolf fangs,22052,197,102,198,2026-09-14 21:39,1,Werewolf
Edron Were cave3,werewolf fur,10317,,1223,,2026-09-14 21:39,1,Werewolf
Edron Werecave with 5 bosses,beetroots,8017,8,,9,2026-09-14 21:09,1,Werebadger
Edron Werecave with 5 bosses,fox paws,27462,,918,,2026-09-14 21:34,1,Werefox
Edron Werecave with 5 bosses,gold coins,,,,,,1,Werebadger|Werebear|Wereboar|Werefox|Werewolf
Edron Werecave with 5 bosses,ham,3582,14,,15,2026-09-14 21:10,1,Werebear
Edron Werecave with 5 bosses,plate shields,3410,,10,,2026-09-14 21:19,1,Werewolf
Edron Werecave with 5 bosses,platinum coins,,,,,,1,Werebadger|Werebear|Wereboar|Werefox
Edron Werecave with 5 bosses,werebadger claws,22051,,688,,2026-09-14 21:39,1,Werebadger
Edron Werecave with 5 bosses,werebadger skulls,22055,999,,1000,2026-09-14 21:39,1,Werebadger
Edron Werecave with 5 bosses,werebear fur,22057,2789,2174,2790,2026-09-14 21:39,1,Werebear
Edron Werecave with 5 bosses,werebear skulls,22056,,1865,,2026-09-14 21:39,1,Werebear
Edron Werecave with 5 bosses,wereboar hooves,22053,148,96,149,2026-09-14 21:39,1,Wereboar
Edron Werecave with 5 bosses,wereboar tusks,22054,,942,,2026-09-14 21:39,1,Wereboar
Edron Werecave with 5 bosses,werefox tails,27463,1869,1328,1870,2026-09-14 21:39,1,Werefox
Edron Werecave with 5 bosses,werewolf fangs,22052,197,102,198,2026-09-14 21:39,1,Werewolf
Edron Werecave with 5 bosses,werewolf fur,10317,,1223,,2026-09-14 21:39,1,Werewolf
Exotic cave spider -1 -2   MK 188,dark mushrooms,3728,99,82,100,2026-09-14 21:10,1,Exotic Bat
Exotic cave spider -1 -2   MK 188,great health potions,239,14,,15,2026-09-14 21:18,1,Exotic Cave Spider
Exotic cave spider -1 -2   MK 188,great mana potions,53161,,32,,2026-06-22 22:11,1,Exotic Bat
Exotic cave spider -1 -2   MK 188,green mushrooms,3732,99,88,100,2026-09-14 21:10,1,Exotic Bat
Exotic cave spider -1 -2   MK 188,platinum coins,,,,,,1,Exotic Bat|Exotic Cave Spider
Exotic cave spider -1 -2   MK 188,poison arrows,3448,,1,,2026-09-14 21:24,1,Exotic Cave Spider
Asura Palace,assassin stars,7368,14,4,15,2026-09-14 21:28,1,Frost Flower Asura
Asura Palace,demonic essence,6499,999,898,1000,2026-09-14 21:33,1,Dawnfire Asura|Frost Flower Asura|Midnight Asura
Asura Palace,flasks of demonic blood,,,,,,1,Dawnfire Asura|Frost Flower Asura|Midnight Asura
Asura Palace,gold coins,,,,,,1,Dawnfire Asura|Frost Flower Asura|Hellspawn|Midnight Asura
Asura Palace,golden lotus brooches,,,,,,1,Dawnfire Asura|Frost Flower Asura|Midnight Asura
Asura Palace,great health potions,239,14,,15,2026-09-14 21:18,1,Frost Flower Asura|Hellspawn
Asura Palace,hellspawn tails,10304,488,265,489,2026-09-14 21:35,1,Hellspawn
Asura Palace,peacock feather fans,21975,347,208,348,2026-09-14 21:36,1,Dawnfire Asura|Frost Flower Asura|Midnight Asura
Asura Palace,platinum coins,,,,,,1,Dawnfire Asura|Frost Flower Asura|Midnight Asura
Asura Palace,soul orbs,5944,29,20,30,2026-09-14 21:24,1,Dawnfire Asura|Frost Flower Asura|Midnight Asura
Drefia Grim Reaper,blank runes,3147,,7,,2026-09-14 21:19,1,Spectre
Drefia Grim Reaper,bones,22159,,,,,1,Skeleton Warrior
Drefia Grim Reaper,candlesticks,2917,9,,10,2026-09-14 21:20,1,Banshee
Drefia Grim Reaper,demonic essence,6499,999,898,1000,2026-09-14 21:33,1,Grim Reaper
Drefia Grim Reaper,flasks of demonic blood,,,,,,1,Grim Reaper
Drefia Grim Reaper,gold coins,,,,,,1,Banshee|Gravedigger|Grim Reaper|Shadow Pupil|Skeleton Warrior|Spectre
Drefia Grim Reaper,horoscopes,18926,5299,4177,5300,2026-09-14 21:35,1,Shadow Pupil
Drefia Grim Reaper,lyres,2949,299,,300,2026-09-14 21:07,1,Spectre
Drefia Grim Reaper,morning stars,3282,96,34,97,2026-09-14 21:27,1,Tarnished Spirit
Drefia Grim Reaper,pelvis bones,11481,84,11,85,2026-09-14 21:36,1,Skeleton Warrior
Drefia Grim Reaper,platinum coins,,,,,,1,Gravedigger
Drefia Grim Reaper,shadow herbs,3740,19,12,20,2026-09-14 21:08,1,Tarnished Spirit
Drefia Grim Reaper,throwing knives,,,,,,1,Stalker
Drefia Grim Reaper,unholy bones,10316,,289,,2026-09-14 21:38,1,Gravedigger
Drefia Grim Reaper,wands of cosmic energy,,,,,,1,Spectre
Drefia Grim Reaper,white mushrooms,3723,4,3,5,2026-09-14 21:10,1,Skeleton Warrior
Yalahar Grim Reaper,demonic essence,6499,999,898,1000,2026-09-14 21:33,3,Grim Reaper|Nightmare
Yalahar Grim Reaper,essences of a bad dream,,,,,,3,Nightmare
Yalahar Grim Reaper,flasks of demonic blood,,,,,,3,Grim Reaper|Nightmare
Yalahar Grim Reaper,gold coins,,,,,,3,Grim Reaper|Nightmare|Nightmare Scion
Yalahar Grim Reaper,ham,3582,14,,15,2026-09-14 21:10,3,Nightmare
Yalahar Grim Reaper,meat,3577,,,,,3,Nightmare Scion
Yalahar Grim Reaper,scythe legs,10312,,455,,2026-09-14 21:37,3,Nightmare
Yalahar Grim Reaper,soul orbs,5944,29,20,30,2026-09-14 21:24,3,Nightmare
cult carlin com party,bolts,3446,2,1,3,2026-09-14 21:24,1,Vicious Squire
cult carlin com party,crossbows,3349,98,54,99,2026-09-14 21:28,1,Vicious Squire
cult carlin com party,gold coins,,,,,,1,Cult Believer|Renegade Knight|Vicious Squire|Vile Grandmaster
cult carlin com party,meat,3577,,,,,1,Cult Believer|Vicious Squire|Vile Grandmaster
cult carlin com party,platinum coins,,,,,,1,Renegade Knight|Vile Grandmaster
werehyena teste,axes,3274,,,,,1,Werehyaena
werehyena teste,great health potions,239,14,,15,2026-09-14 21:18,1,Werehyaena
werehyena teste,great mana potions,53161,,32,,2026-06-22 22:11,1,Werehyaena Shaman
werehyena teste,halberds,3269,598,274,599,2026-09-14 21:25,1,Werehyaena
werehyena teste,knives,,,,,,1,Werehyaena
werehyena teste,meat,3577,,,,,1,Werehyaena
werehyena teste,platinum coins,,,,,,1,Werehyaena|Werehyaena Shaman
werehyena teste,small amethysts,3033,198,172,199,2026-09-14 21:24,1,Werehyaena Shaman
werehyena teste,werehyaena noses,33943,224,159,225,2026-09-14 21:39,1,Werehyaena|Werehyaena Shaman
Lizard City,broken halberds,10418,,1404,,2026-09-14 21:32,1,Lizard Legionnaire
Lizard City,dragon priest&#39;s wandtips,,,,,,1,Lizard Dragon Priest
Lizard City,gold coins,,,,,,1,Lizard Dragon Priest|Lizard High Guard|Lizard Legionnaire|Lizard Zaogun
Lizard City,lizard leather,5876,238,150,239,2026-09-14 21:35,1,Lizard Zaogun
Lizard City,lizard scales,5881,197,117,198,2026-09-14 21:35,1,Lizard Zaogun
Lizard City,platinum coins,,,,,,1,Lizard Zaogun
Lizard City,strong health potions,236,10,4,11,2026-09-14 21:18,1,Lizard High Guard
Lizard City,strong mana potions,237,116,100,117,2026-09-14 21:18,1,Lizard Dragon Priest
Lizard City,zaogun shoulderplates,10414,5099,3685,5100,2026-09-14 21:39,1,Lizard Zaogun
Oramond Slums,fish,3578,3,,4,2026-09-14 21:10,1,Quara Hydromancer Scout
Oramond Slums,globs of glooth,,,,,,1,Devourer|Glooth Blob|Rot Elemental
Oramond Slums,gold coins,,,,,,1,Blood Beast|Devourer|Glooth Blob|Quara Constrictor Scout|Quara Hydromancer Scout|Quara Pincher Scout
Oramond Slums,platinum coins,,,,,,1,Devourer|Rot Elemental
Oramond Slums,poisoned fangs,21195,1089,837,1090,2026-09-14 21:36,1,Blood Beast
Oramond Slums,quara bones,11491,599,460,600,2026-09-14 21:37,1,Quara Predator Scout
Oramond Slums,quara eyes,11488,1948,1143,1949,2026-09-14 21:37,1,Quara Hydromancer Scout
Oramond Slums,quara pincers,11490,,356,,2026-09-14 21:37,1,Quara Pincher Scout
Oramond Slums,quara tentacles,11487,1374,,1375,2026-09-14 21:37,1,Quara Constrictor Scout
Oramond Slums,shrimp,3581,13,2,14,2026-09-14 21:10,1,Quara Constrictor Scout|Quara Hydromancer Scout
Oramond Slums,slime hearts,21194,155,98,156,2026-09-14 21:37,1,Blood Beast
Oramond Slums,strong health potions,236,10,4,11,2026-09-14 21:18,1,Rot Elemental
Oramond Slums,strong mana potions,237,116,100,117,2026-09-14 21:18,1,Rot Elemental
Lizards,broken halberds,10418,,1404,,2026-09-14 21:32,1,Lizard Legionnaire
Lizards,crossbows,3349,98,54,99,2026-09-14 21:28,1,Dragon
Lizards,dragon ham,3583,69,,70,2026-09-14 21:10,1,Dragon
Lizards,dragon&#39;s tails,,,,,,1,Dragon
Lizards,gold coins,,,,,,1,Dragon|Lancer Beetle|Lizard High Guard|Lizard Legionnaire
Lizards,lancer beetle shells,10455,,,,,1,Lancer Beetle
Lizards,steel shields,3409,75,17,76,2026-09-14 21:20,1,Dragon
Lizards,strong health potions,236,10,4,11,2026-09-14 21:18,1,Lizard High Guard
Glooth Bandit,gold coins,,,,,,1,Glooth Bandit|Glooth Brigand
Glooth Bandit,platinum coins,,,,,,1,Glooth Bandit|Glooth Brigand
mini rosha,bones,22159,,,,,3,Weakened Frazzlemaw
mini rosha,colourful snail shell,25696,3348,2160,3349,2026-09-14 21:32,3,Nymph|Pixie|Swan Maiden
mini rosha,dandelion seeds,25695,1748,808,1749,2026-09-14 21:33,3,Nymph|Pixie
mini rosha,fairy wings,25694,193,106,194,2026-09-14 21:34,3,Boogy|Dark Faun|Enfeebled Silencer|Weakened Frazzlemaw
mini rosha,frazzle skins,20199,388,336,389,2026-09-14 21:34,3,Weakened Frazzlemaw
mini rosha,frazzle tongues,20198,694,505,695,2026-09-14 21:34,3,Weakened Frazzlemaw
mini rosha,fresh fruit,25692,8,,9,2026-09-14 21:10,3,Nymph|Pixie
mini rosha,gold coins,,,,,,3,Boogy|Dark Faun|Enfeebled Silencer|Nymph|Pixie|Swan Maiden
mini rosha,great health potions,239,14,,15,2026-09-14 21:18,3,Weakened Frazzlemaw
mini rosha,great mana potions,53161,,32,,2026-06-22 22:11,3,Weakened Frazzlemaw
mini rosha,platinum coins,,,,,,3,Enfeebled Silencer|Weakened Frazzlemaw
mini rosha,remains of a fish,3125,0,,1,2026-09-14 21:16,3,Weakened Frazzlemaw
mini rosha,shimmering beetles,25693,,1000,,2026-09-14 21:37,3,Boogy|Dark Faun
mini rosha,skulls,3114,,1,,2026-09-14 21:17,3,Weakened Frazzlemaw
mini rosha,strong health potions,236,10,4,11,2026-09-14 21:18,3,Boogy|Dark Faun
mini rosha,wild flowers,25691,,702,,2026-09-14 21:39,3,Nymph|Pixie|Swan Maiden
Exotic Cave,dark mushrooms,3728,99,82,100,2026-09-14 21:10,2,Exotic Bat
Exotic Cave,great health potions,239,14,,15,2026-09-14 21:18,2,Exotic Cave Spider|Pirat Cutthroat
Exotic Cave,great mana potions,53161,,32,,2026-06-22 22:11,2,Exotic Bat|Pirat Scoundrel
Exotic Cave,green mushrooms,3732,99,88,100,2026-09-14 21:10,2,Exotic Bat
Exotic Cave,ice rapiers,3284,995,684,996,2026-09-14 21:29,2,Pirat Cutthroat
Exotic Cave,platinum coins,,,,,,2,Exotic Bat|Exotic Cave Spider
Exotic Cave,poison arrows,3448,,1,,2026-09-14 21:24,2,Exotic Cave Spider
gazer sceptre,brown crystal splinters,16123,398,263,399,2026-09-14 21:21,2,Gazer Spectre
gazer sceptre,halberds,3269,598,274,599,2026-09-14 21:25,2,Thanatursus
gazer sceptre,ham,3582,14,,15,2026-09-14 21:10,2,Thanatursus
gazer sceptre,meat,3577,,,,,2,Thanatursus
gazer sceptre,platinum coins,,,,,,2,Gazer Spectre|Thanatursus
gazer sceptre,small diamonds,3028,299,241,300,2026-09-14 21:24,2,Gazer Spectre
gazer sceptre,small sapphires,3029,248,214,249,2026-09-14 21:24,2,Gazer Spectre
Hero Fortres,arrows,3447,2,2,3,2026-09-14 21:24,1,Hero
Hero Fortres,bolts,3446,2,1,3,2026-09-14 21:24,1,Vicious Squire
Hero Fortres,bones,22159,,,,,1,Bonebeast
Hero Fortres,bony tails,10277,,183,,2026-09-14 21:32,1,Bonebeast
Hero Fortres,bows,3350,98,40,99,2026-09-14 21:28,1,Hero
Hero Fortres,cheese and gold coins ,,,,,,1,Rat
Hero Fortres,crossbows,3349,98,54,99,2026-09-14 21:28,1,Vicious Squire
Hero Fortres,dragon ham,3583,69,,70,2026-09-14 21:10,1,Wyvern
Hero Fortres,gold coins,,,,,,1,Bonebeast|Hero|Lich|Renegade Knight|Stone Golem|Vicious Squire
Hero Fortres,grapes,3592,9,,10,2026-09-14 21:10,1,Hero
Hero Fortres,meat,3577,,,,,1,Vicious Squire|Vile Grandmaster
Hero Fortres,platinum coins,,,,,,1,Lich|Renegade Knight|Vile Grandmaster
Hero Fortres,red roses,3658,24,1,25,2026-09-14 21:08,1,Hero
Hero Fortres,scrolls,347,,,,,1,Hero
Hero Fortres,skulls,3114,,1,,2026-09-14 21:17,1,Bonebeast
Hero Fortres,small stones,1781,,5,,2026-09-14 21:28,1,Stone Golem
Hero Fortres,sniper arrows,7364,,,,,1,Hero
Hero Fortres,spellbooks,3101,,,,,1,Lich
Hero Fortres,sulphurous stones,10315,,100,,2026-09-14 21:38,1,Stone Golem
Hero Fortres,wyvern talismans,9644,5170,4068,5171,2026-09-14 21:39,1,Wyvern
Vampire Crypt (Edron),carrots and meat ,,,,,,1,Rabbit
Vampire Crypt (Edron),dragon ham,3583,69,,70,2026-09-14 21:10,1,Wyvern
Vampire Crypt (Edron),gold coins,,,,,,1,Vampire|Vampire Bride|Vampire Viscount|Wyvern
Vampire Crypt (Edron),ham,3582,14,,15,2026-09-14 21:10,1,Deer
Vampire Crypt (Edron),meat,3577,,,,,1,Deer|Wolf
Vampire Crypt (Edron),nothing ,,,,,,1,Snake
Vampire Crypt (Edron),platinum coins,,,,,,1,Vampire Bride
Vampire Crypt (Edron),strong mana potions,237,116,100,117,2026-09-14 21:18,1,Vampire Bride
Vampire Crypt (Edron),vampire teeth,9685,491,300,492,2026-09-14 21:38,1,Vampire Bride
Vampire Crypt (Edron),wyvern talismans,9644,5170,4068,5171,2026-09-14 21:39,1,Wyvern
Dark Fauns -2,carrots,3595,316,,317,2026-09-14 21:09,1,Twisted Pooka
Dark Fauns -2,fairy wings,25694,193,106,194,2026-09-14 21:34,1,Boogy|Dark Faun|Twisted Pooka
Dark Fauns -2,gold coins,,,,,,1,Boogy|Dark Faun|Twisted Pooka
Dark Fauns -2,shimmering beetles,25693,,1000,,2026-09-14 21:37,1,Boogy|Dark Faun|Twisted Pooka
Dark Fauns -2,strong health potions,236,10,4,11,2026-09-14 21:18,1,Boogy|Dark Faun|Twisted Pooka
Cults Carlin,bolts,3446,2,1,3,2026-09-14 21:24,2,Vicious Squire
Cults Carlin,crossbows,3349,98,54,99,2026-09-14 21:28,2,Vicious Squire
Cults Carlin,gold coins,,,,,,2,Cult Believer|Cult Enforcer|Renegade Knight|Vicious Squire|Vile Grandmaster
Cults Carlin,meat,3577,,,,,2,Cult Believer|Cult Enforcer|Vicious Squire|Vile Grandmaster
Cults Carlin,platinum coins,,,,,,2,Renegade Knight|Vile Grandmaster
sphinx and lamassu,axes,3274,,,,,1,Werehyaena
sphinx and lamassu,badger fur,10299,14,4,15,2026-09-14 21:31,1,Badger
sphinx and lamassu,beetroots,8017,8,,9,2026-09-14 21:09,1,Badger
sphinx and lamassu,carrots,3595,316,,317,2026-09-14 21:09,1,Silver Rabbit
sphinx and lamassu,crab pincers,10272,33,1,34,2026-09-14 21:33,1,Crab
sphinx and lamassu,dragon ham,3583,69,,70,2026-09-14 21:10,1,Frost Dragon|Frost Dragon Hatchling
sphinx and lamassu,fish,3578,3,,4,2026-09-14 21:10,1,Frost Troll
sphinx and lamassu,fish and gold coins ,,,,,,1,Crab
sphinx and lamassu,gold coins,,,,,,1,Crocodile|Crystal Spider|Frost Dragon|Frost Dragon Hatchling|Frost Troll|Mammoth
sphinx and lamassu,great health potions,239,14,,15,2026-09-14 21:18,1,Werehyaena
sphinx and lamassu,green mushrooms,3732,99,88,100,2026-09-14 21:10,1,Frost Dragon
sphinx and lamassu,halberds,3269,598,274,599,2026-09-14 21:25,1,Werehyaena
sphinx and lamassu,ham,3582,14,,15,2026-09-14 21:10,1,Crocodile|Deer|Mammoth
sphinx and lamassu,knives,,,,,,1,Werehyaena
sphinx and lamassu,lamassu horns,31442,556,155,557,2026-09-14 21:35,1,Lamassu
sphinx and lamassu,meat,3577,,,,,1,Deer|Mammoth|Werehyaena
sphinx and lamassu,meat ,,,,,,1,Dromedary
sphinx and lamassu,meat and silky fur ,,,,,,1,Silver Rabbit
sphinx and lamassu,meat and winter wolf fur ,,,,,,1,Winter Wolf
sphinx and lamassu,pieces of crocodile leather,,,,,,1,Crocodile
sphinx and lamassu,plate armors,3357,348,112,349,2026-09-14 21:02,1,Crystal Spider
sphinx and lamassu,platinum coins,,,,,,1,Lamassu|Sphinx|Werehyaena
sphinx and lamassu,rapiers,3272,14,,15,2026-09-14 21:29,1,Frost Troll
sphinx and lamassu,red crystal fragments,16126,837,720,838,2026-09-14 21:23,1,Lamassu
sphinx and lamassu,spears,3277,94,1,95,2026-09-14 21:28,1,Frost Troll
sphinx and lamassu,strong mana potions,237,116,100,117,2026-09-14 21:18,1,Crystal Spider
sphinx and lamassu,werehyaena noses,33943,224,159,225,2026-09-14 21:39,1,Werehyaena
sphinx and lamassu,wooden shields,3412,,,,,1,Frost Troll
Walls South,bone shoulderplates,10404,408,158,409,2026-09-14 21:32,1,Draken Warmaster
Walls South,gold coins,,,,,,1,Draken Spellweaver|Draken Warmaster
Walls South,meat,3577,,,,,1,Draken Spellweaver|Draken Warmaster
Walls South,platinum coins,,,,,,1,Draken Spellweaver|Draken Warmaster
Walls South,weaver&#39;s wandtips,,,,,,1,Draken Spellweaver
Pirats,acorns,10296,2327,1853,2328,2026-09-14 21:31,1,Squirrel
Pirats,cyan crystal fragments,16125,797,731,798,2026-09-14 21:21,1,Pirat Mate
Pirats,gold coins,,,,,,1,Nightmare Scion
Pirats,great health potions,239,14,,15,2026-09-14 21:18,1,Pirat Cutthroat
Pirats,great mana potions,53161,,32,,2026-06-22 22:11,1,Pirat Bombardier|Pirat Scoundrel
Pirats,ice rapiers,3284,995,684,996,2026-09-14 21:29,1,Pirat Cutthroat
Pirats,meat,3577,,,,,1,Nightmare Scion
Pirats,mouldy powder,35596,,251,,2026-09-14 21:36,1,Pirat Mate
Pirats,pirate coins,35572,109,91,110,2026-09-14 21:36,1,Pirat Mate
Pirats,red crystal fragments,16126,837,720,838,2026-09-14 21:23,1,Pirat Mate
