spawn,item,item_id,instant,fair,patient,price_date,n_sessions_spawn,creatures
Edron Werecave with 5 bosses,werebadger skulls,22055,,,,,1,Werebadger
Edron Werecave with 5 bosses,werebear fur,22057,,,,,1,Werebear
Edron Werecave with 5 bosses,werebear skulls,22056,,,,,1,Werebear
Edron Werecave with 5 bosses,wereboar hooves,22053,,,,,1,Wereboar
Edron Werecave with 5 bosses,wereboar tusks,22054,,,,,1,Wereboar
Edron Werecave with 5 bosses,werefox tails,27463,,,,,1,Werefox
Edron Werecave with 5 bosses,werewolf fangs,22052,,,,,1,Werewolf
Edron Werecave with 5 bosses,werewolf fur,10317,,,,,1,Werewolf
Exotic cave spider -1 -2   MK 188,dark mushrooms,3728,87,82,100,2026-09-14 23:10,1,Exotic Bat
Exotic cave spider -1 -2   MK 188,great health potions,239,8,4,15,2026-09-14 23:18,1,Exotic Cave Spider
Exotic cave spider -1 -2   MK 188,great mana potions,53161,36,32,,2026-06-23 00:11,1,Exotic Bat
Exotic cave spider -1 -2   MK 188,green mushrooms,3732,93,88,100,2026-09-14 23:10,1,Exotic Bat
Exotic cave spider -1 -2   MK 188,platinum coins,,,,,,1,Exotic Bat|Exotic Cave Spider
Exotic cave spider -1 -2   MK 188,poison arrows,3448,1,1,2,2026-09-14 23:24,1,Exotic Cave Spider
Asura Palace,assassin stars,7368,4,1,15,2026-09-14 23:28,1,Frost Flower Asura
Asura Palace,demonic essence,6499,922,805,1000,2026-09-14 23:33,1,Dawnfire Asura|Frost Flower Asura|Midnight Asura
Asura Palace,flasks of demonic blood,,,,,,1,Dawnfire Asura|Frost Flower Asura|Midnight Asura
Asura Palace,gold coins,,,,,,1,Dawnfire Asura|Frost Flower Asura|Hellspawn|Midnight Asura
Asura Palace,golden lotus brooches,,,,,,1,Dawnfire Asura|Frost Flower Asura|Midnight Asura
Asura Palace,great health potions,239,8,4,15,2026-09-14 23:18,1,Frost Flower Asura|Hellspawn
Asura Palace,hellspawn tails,10304,283,265,489,2026-09-14 23:35,1,Hellspawn
Asura Palace,peacock feather fans,21975,213,208,348,2026-09-14 23:36,1,Dawnfire Asura|Frost Flower Asura|Midnight Asura
Asura Palace,platinum coins,,,,,,1,Dawnfire Asura|Frost Flower Asura|Midnight Asura
Asura Palace,soul orbs,5944,,,,,1,Dawnfire Asura|Frost Flower Asura|Midnight Asura
Drefia Grim Reaper,blank runes,3147,9,6,,2026-09-14 23:19,1,Spectre
Drefia Grim Reaper,bones,22159,,,,,1,Skeleton Warrior
Drefia Grim Reaper,candlesticks,2917,,,10,2026-09-14 23:20,1,Banshee
Drefia Grim Reaper,demonic essence,6499,922,805,1000,2026-09-14 23:33,1,Grim Reaper
Drefia Grim Reaper,flasks of demonic blood,,,,,,1,Grim Reaper
Drefia Grim Reaper,gold coins,,,,,,1,Banshee|Gravedigger|Grim Reaper|Shadow Pupil|Skeleton Warrior|Spectre
Drefia Grim Reaper,horoscopes,18926,4283,3636,5300,2026-09-14 23:35,1,Shadow Pupil
Drefia Grim Reaper,lyres,2949,,,300,2026-09-14 23:07,1,Spectre
Drefia Grim Reaper,morning stars,3282,34,34,97,2026-09-14 23:27,1,Tarnished Spirit
Drefia Grim Reaper,pelvis bones,11481,12,2,85,2026-09-14 23:36,1,Skeleton Warrior
Drefia Grim Reaper,platinum coins,,,,,,1,Gravedigger
Drefia Grim Reaper,shadow herbs,3740,,,,,1,Tarnished Spirit
Drefia Grim Reaper,throwing knives,,,,,,1,Stalker
Drefia Grim Reaper,unholy bones,10316,,,,,1,Gravedigger
Drefia Grim Reaper,wands of cosmic energy,,,,,,1,Spectre
Drefia Grim Reaper,white mushrooms,3723,,,,,1,Skeleton Warrior
Yalahar Grim Reaper,demonic essence,6499,922,805,1000,2026-09-14 23:33,3,Grim Reaper|Nightmare
Yalahar Grim Reaper,essences of a bad dream,,,,,,3,Nightmare
Yalahar Grim Reaper,flasks of demonic blood,,,,,,3,Grim Reaper|Nightmare
Yalahar Grim Reaper,gold coins,,,,,,3,Grim Reaper|Nightmare|Nightmare Scion
Yalahar Grim Reaper,ham,3582,,,15,2026-09-14 23:10,3,Nightmare
Yalahar Grim Reaper,meat,3577,,,15,2026-09-14 23:10,3,Nightmare Scion
Yalahar Grim Reaper,scythe legs,10312,,,,,3,Nightmare
Yalahar Grim Reaper,soul orbs,5944,,,,,3,Nightmare
cult carlin com party,bolts,3446,2,1,3,2026-09-14 23:24,1,Vicious Squire
cult carlin com party,crossbows,3349,55,54,99,2026-09-14 23:28,1,Vicious Squire
cult carlin com party,gold coins,,,,,,1,Cult Believer|Renegade Knight|Vicious Squire|Vile Grandmaster
cult carlin com party,meat,3577,,,15,2026-09-14 23:10,1,Cult Believer|Vicious Squire|Vile Grandmaster
cult carlin com party,platinum coins,,,,,,1,Renegade Knight|Vile Grandmaster
werehyena teste,axes,3274,,,79,2026-09-14 23:25,1,Werehyaena
werehyena teste,great health potions,239,8,4,15,2026-09-14 23:18,1,Werehyaena
werehyena teste,great mana potions,53161,36,32,,2026-06-23 00:11,1,Werehyaena Shaman
werehyena teste,halberds,3269,333,274,599,2026-09-14 23:25,1,Werehyaena
werehyena teste,knives,,,,,,1,Werehyaena
werehyena teste,meat,3577,,,15,2026-09-14 23:10,1,Werehyaena
werehyena teste,platinum coins,,,,,,1,Werehyaena|Werehyaena Shaman
werehyena teste,small amethysts,3033,,,,,1,Werehyaena Shaman
werehyena teste,werehyaena noses,33943,,,,,1,Werehyaena|Werehyaena Shaman
Lizard City,broken halberds,10418,1411,1404,3332,2026-09-14 23:32,1,Lizard Legionnaire
Lizard City,dragon priest&#39;s wandtips,,,,,,1,Lizard Dragon Priest
Lizard City,gold coins,,,,,,1,Lizard Dragon Priest|Lizard High Guard|Lizard Legionnaire|Lizard Zaogun
Lizard City,lizard leather,5876,150,150,239,2026-09-14 23:35,1,Lizard Zaogun
Lizard City,lizard scales,5881,119,117,198,2026-09-14 23:35,1,Lizard Zaogun
Lizard City,platinum coins,,,,,,1,Lizard Zaogun
Lizard City,strong health potions,236,,,,,1,Lizard High Guard
Lizard City,strong mana potions,237,,,,,1,Lizard Dragon Priest
Lizard City,zaogun shoulderplates,10414,,,,,1,Lizard Zaogun
Oramond Slums,fish,3578,,,4,2026-09-14 23:10,1,Quara Hydromancer Scout
Oramond Slums,globs of glooth,,,,,,1,Devourer|Glooth Blob|Rot Elemental
Oramond Slums,gold coins,,,,,,1,Blood Beast|Devourer|Glooth Blob|Quara Constrictor Scout|Quara Hydromancer Scout|Quara Pincher Scout
Oramond Slums,platinum coins,,,,,,1,Devourer|Rot Elemental
Oramond Slums,poisoned fangs,21195,861,837,1090,2026-09-14 23:36,1,Blood Beast
Oramond Slums,quara bones,11491,477,460,600,2026-09-14 23:37,1,Quara Predator Scout
Oramond Slums,quara eyes,11488,1205,699,1949,2026-09-14 23:37,1,Quara Hydromancer Scout
Oramond Slums,quara pincers,11490,801,356,1997,2026-09-14 23:37,1,Quara Pincher Scout
Oramond Slums,quara tentacles,11487,900,785,1375,2026-09-14 23:37,1,Quara Constrictor Scout
Oramond Slums,shrimp,3581,,,,,1,Quara Constrictor Scout|Quara Hydromancer Scout
Oramond Slums,slime hearts,21194,,,,,1,Blood Beast
Oramond Slums,strong health potions,236,,,,,1,Rot Elemental
Oramond Slums,strong mana potions,237,,,,,1,Rot Elemental
Lizards,broken halberds,10418,1411,1404,3332,2026-09-14 23:32,1,Lizard Legionnaire
Lizards,crossbows,3349,55,54,99,2026-09-14 23:28,1,Dragon
Lizards,dragon ham,3583,,,70,2026-09-14 23:10,1,Dragon
Lizards,dragon&#39;s tails,,,,,,1,Dragon
Lizards,gold coins,,,,,,1,Dragon|Lancer Beetle|Lizard High Guard|Lizard Legionnaire
Lizards,lancer beetle shells,10455,2000,503,5949,2026-09-14 23:35,1,Lancer Beetle
Lizards,steel shields,3409,,,,,1,Dragon
Lizards,strong health potions,236,,,,,1,Lizard High Guard
Glooth Bandit,gold coins,,,,,,1,Glooth Bandit|Glooth Brigand
Glooth Bandit,platinum coins,,,,,,1,Glooth Bandit|Glooth Brigand
mini rosha,bones,22159,,,,,3,Weakened Frazzlemaw
mini rosha,colourful snail shell,25696,2201,2160,3349,2026-09-14 23:32,3,Nymph|Pixie|Swan Maiden
mini rosha,dandelion seeds,25695,818,808,1749,2026-09-14 23:33,3,Nymph|Pixie
mini rosha,fairy wings,25694,130,70,194,2026-09-14 23:34,3,Boogy|Dark Faun|Enfeebled Silencer|Weakened Frazzlemaw
mini rosha,frazzle skins,20199,346,336,389,2026-09-14 23:34,3,Weakened Frazzlemaw
mini rosha,frazzle tongues,20198,583,335,695,2026-09-14 23:34,3,Weakened Frazzlemaw
mini rosha,fresh fruit,25692,,,9,2026-09-14 23:10,3,Nymph|Pixie
mini rosha,gold coins,,,,,,3,Boogy|Dark Faun|Enfeebled Silencer|Nymph|Pixie|Swan Maiden
mini rosha,great health potions,239,8,4,15,2026-09-14 23:18,3,Weakened Frazzlemaw
mini rosha,great mana potions,53161,36,32,,2026-06-23 00:11,3,Weakened Frazzlemaw
mini rosha,platinum coins,,,,,,3,Enfeebled Silencer|Weakened Frazzlemaw
mini rosha,remains of a fish,3125,,,,,3,Weakened Frazzlemaw
mini rosha,shimmering beetles,25693,,,,,3,Boogy|Dark Faun
mini rosha,skulls,3114,,,,,3,Weakened Frazzlemaw
mini rosha,strong health potions,236,,,,,3,Boogy|Dark Faun
mini rosha,wild flowers,25691,,,,,3,Nymph|Pixie|Swan Maiden
Exotic Cave,dark mushrooms,3728,87,82,100,2026-09-14 23:10,2,Exotic Bat
Exotic Cave,great health potions,239,8,4,15,2026-09-14 23:18,2,Exotic Cave Spider|Pirat Cutthroat
Exotic Cave,great mana potions,53161,36,32,,2026-06-23 00:11,2,Exotic Bat|Pirat Scoundrel
Exotic Cave,green mushrooms,3732,93,88,100,2026-09-14 23:10,2,Exotic Bat
Exotic Cave,ice rapiers,3284,702,177,996,2026-09-14 23:29,2,Pirat Cutthroat
Exotic Cave,platinum coins,,,,,,2,Exotic Bat|Exotic Cave Spider
Exotic Cave,poison arrows,3448,1,1,2,2026-09-14 23:24,2,Exotic Cave Spider
gazer sceptre,brown crystal splinters,16123,278,258,399,2026-09-14 23:21,2,Gazer Spectre
gazer sceptre,halberds,3269,333,274,599,2026-09-14 23:25,2,Thanatursus
gazer sceptre,ham,3582,,,15,2026-09-14 23:10,2,Thanatursus
gazer sceptre,meat,3577,,,15,2026-09-14 23:10,2,Thanatursus
gazer sceptre,platinum coins,,,,,,2,Gazer Spectre|Thanatursus
gazer sceptre,small diamonds,3028,,,,,2,Gazer Spectre
gazer sceptre,small sapphires,3029,,,,,2,Gazer Spectre
Hero Fortres,arrows,3447,2,1,3,2026-09-14 23:24,1,Hero
Hero Fortres,bolts,3446,2,1,3,2026-09-14 23:24,1,Vicious Squire
Hero Fortres,bones,22159,,,,,1,Bonebeast
Hero Fortres,bony tails,10277,201,180,435,2026-09-14 23:32,1,Bonebeast
Hero Fortres,bows,3350,40,40,99,2026-09-14 23:28,1,Hero
Hero Fortres,cheese and gold coins ,,,,,,1,Rat
Hero Fortres,crossbows,3349,55,54,99,2026-09-14 23:28,1,Vicious Squire
Hero Fortres,dragon ham,3583,,,70,2026-09-14 23:10,1,Wyvern
Hero Fortres,gold coins,,,,,,1,Bonebeast|Hero|Lich|Renegade Knight|Stone Golem|Vicious Squire
Hero Fortres,grapes,3592,,,10,2026-09-14 23:10,1,Hero
Hero Fortres,meat,3577,,,15,2026-09-14 23:10,1,Vicious Squire|Vile Grandmaster
Hero Fortres,platinum coins,,,,,,1,Lich|Renegade Knight|Vile Grandmaster
Hero Fortres,red roses,3658,,,,,1,Hero
Hero Fortres,scrolls,347,,,,,1,Hero
Hero Fortres,skulls,3114,,,,,1,Bonebeast
Hero Fortres,small stones,1781,,,,,1,Stone Golem
Hero Fortres,sniper arrows,7364,,,,,1,Hero
Hero Fortres,spellbooks,3101,,,,,1,Lich
Hero Fortres,sulphurous stones,10315,,,,,1,Stone Golem
Hero Fortres,wyvern talismans,9644,,,,,1,Wyvern
Vampire Crypt (Edron),carrots and meat ,,,,,,1,Rabbit
Vampire Crypt (Edron),dragon ham,3583,,,70,2026-09-14 23:10,1,Wyvern
Vampire Crypt (Edron),gold coins,,,,,,1,Vampire|Vampire Bride|Vampire Viscount|Wyvern
Vampire Crypt (Edron),ham,3582,,,15,2026-09-14 23:10,1,Deer
Vampire Crypt (Edron),meat,3577,,,15,2026-09-14 23:10,1,Deer|Wolf
Vampire Crypt (Edron),nothing ,,,,,,1,Snake
Vampire Crypt (Edron),platinum coins,,,,,,1,Vampire Bride
Vampire Crypt (Edron),strong mana potions,237,,,,,1,Vampire Bride
Vampire Crypt (Edron),vampire teeth,9685,,,,,1,Vampire Bride
Vampire Crypt (Edron),wyvern talismans,9644,,,,,1,Wyvern
Dark Fauns -2,carrots,3595,,,317,2026-09-14 23:09,1,Twisted Pooka
Dark Fauns -2,fairy wings,25694,130,70,194,2026-09-14 23:34,1,Boogy|Dark Faun|Twisted Pooka
Dark Fauns -2,gold coins,,,,,,1,Boogy|Dark Faun|Twisted Pooka
Dark Fauns -2,shimmering beetles,25693,,,,,1,Boogy|Dark Faun|Twisted Pooka
Dark Fauns -2,strong health potions,236,,,,,1,Boogy|Dark Faun|Twisted Pooka
Cults Carlin,bolts,3446,2,1,3,2026-09-14 23:24,1,Vicious Squire
Cults Carlin,crossbows,3349,55,54,99,2026-09-14 23:28,1,Vicious Squire
Cults Carlin,gold coins,,,,,,1,Cult Believer|Cult Enforcer|Renegade Knight|Vicious Squire|Vile Grandmaster
Cults Carlin,meat,3577,,,15,2026-09-14 23:10,1,Cult Believer|Cult Enforcer|Vicious Squire|Vile Grandmaster
Cults Carlin,platinum coins,,,,,,1,Renegade Knight|Vile Grandmaster
Oramond West #1,fish,3578,,,4,2026-09-14 23:10,1,Quara Hydromancer Scout
Oramond West #1,globs of glooth,,,,,,1,Devourer|Glooth Blob|Rot Elemental
Oramond West #1,gold coins,,,,,,1,Blood Beast|Devourer|Glooth Blob|Quara Constrictor Scout|Quara Hydromancer Scout|Quara Pincher Scout
Oramond West #1,platinum coins,,,,,,1,Devourer|Rot Elemental
Oramond West #1,poisoned fangs,21195,861,837,1090,2026-09-14 23:36,1,Blood Beast
Oramond West #1,quara bones,11491,477,460,600,2026-09-14 23:37,1,Quara Predator Scout
Oramond West #1,quara eyes,11488,1205,699,1949,2026-09-14 23:37,1,Quara Hydromancer Scout
Oramond West #1,quara pincers,11490,801,356,1997,2026-09-14 23:37,1,Quara Pincher Scout
Oramond West #1,quara tentacles,11487,900,785,1375,2026-09-14 23:37,1,Quara Constrictor Scout
Oramond West #1,shrimp,3581,,,,,1,Quara Constrictor Scout|Quara Hydromancer Scout
Oramond West #1,slime hearts,21194,,,,,1,Blood Beast
Oramond West #1,strong health potions,236,,,,,1,Rot Elemental
Oramond West #1,strong mana potions,237,,,,,1,Rot Elemental
sphinx and lamassu,axes,3274,,,79,2026-09-14 23:25,1,Werehyaena
sphinx and lamassu,badger fur,10299,4,4,15,2026-09-14 23:31,1,Badger
sphinx and lamassu,beetroots,8017,,,9,2026-09-14 23:09,1,Badger
sphinx and lamassu,carrots,3595,,,317,2026-09-14 23:09,1,Silver Rabbit
sphinx and lamassu,crab pincers,10272,1,1,34,2026-09-14 23:33,1,Crab
sphinx and lamassu,dragon ham,3583,,,70,2026-09-14 23:10,1,Frost Dragon|Frost Dragon Hatchling
sphinx and lamassu,fish,3578,,,4,2026-09-14 23:10,1,Frost Troll
sphinx and lamassu,fish and gold coins ,,,,,,1,Crab
sphinx and lamassu,gold coins,,,,,,1,Crocodile|Crystal Spider|Frost Dragon|Frost Dragon Hatchling|Frost Troll|Mammoth
sphinx and lamassu,great health potions,239,8,4,15,2026-09-14 23:18,1,Werehyaena
sphinx and lamassu,green mushrooms,3732,93,88,100,2026-09-14 23:10,1,Frost Dragon
sphinx and lamassu,halberds,3269,333,274,599,2026-09-14 23:25,1,Werehyaena
sphinx and lamassu,ham,3582,,,15,2026-09-14 23:10,1,Crocodile|Deer|Mammoth
sphinx and lamassu,knives,,,,,,1,Werehyaena
sphinx and lamassu,lamassu horns,31442,156,112,557,2026-09-14 23:35,1,Lamassu
sphinx and lamassu,meat,3577,,,15,2026-09-14 23:10,1,Deer|Mammoth|Werehyaena
sphinx and lamassu,meat ,,,,,,1,Dromedary
sphinx and lamassu,meat and silky fur ,,,,,,1,Silver Rabbit
sphinx and lamassu,meat and winter wolf fur ,,,,,,1,Winter Wolf
sphinx and lamassu,pieces of crocodile leather,,,,,,1,Crocodile
sphinx and lamassu,plate armors,3357,121,112,349,2026-09-14 23:02,1,Crystal Spider
sphinx and lamassu,platinum coins,,,,,,1,Lamassu|Sphinx|Werehyaena
sphinx and lamassu,rapiers,3272,,,15,2026-09-14 23:29,1,Frost Troll
sphinx and lamassu,red crystal fragments,16126,,,,,1,Lamassu
sphinx and lamassu,spears,3277,,,,,1,Frost Troll
sphinx and lamassu,strong mana potions,237,,,,,1,Crystal Spider
sphinx and lamassu,werehyaena noses,33943,,,,,1,Werehyaena
sphinx and lamassu,wooden shields,3412,,,,,1,Frost Troll
Walls South,bone shoulderplates,10404,201,133,409,2026-09-14 23:32,1,Draken Warmaster
Walls South,gold coins,,,,,,1,Draken Spellweaver|Draken Warmaster
Walls South,meat,3577,,,15,2026-09-14 23:10,1,Draken Spellweaver|Draken Warmaster
Walls South,platinum coins,,,,,,1,Draken Spellweaver|Draken Warmaster
Walls South,weaver&#39;s wandtips,,,,,,1,Draken Spellweaver
Pirats,acorns,10296,1952,1649,2328,2026-09-14 23:31,1,Squirrel
Pirats,cyan crystal fragments,16125,770,731,798,2026-09-14 23:21,1,Pirat Mate
Pirats,gold coins,,,,,,1,Nightmare Scion
Pirats,great health potions,239,8,4,15,2026-09-14 23:18,1,Pirat Cutthroat
Pirats,great mana potions,53161,36,32,,2026-06-23 00:11,1,Pirat Bombardier|Pirat Scoundrel
Pirats,ice rapiers,3284,702,177,996,2026-09-14 23:29,1,Pirat Cutthroat
Pirats,meat,3577,,,15,2026-09-14 23:10,1,Nightmare Scion
Pirats,mouldy powder,35596,253,251,837,2026-09-14 23:36,1,Pirat Mate
Pirats,pirate coins,35572,93,84,110,2026-09-14 23:36,1,Pirat Mate
Pirats,red crystal fragments,16126,,,,,1,Pirat Mate
Pirats,small diamonds,3028,,,,,1,Pirat Mate
Otherworld Kazordoon,crystal bones,23521,8000,5597,10280,2026-09-14 23:33,1,Instable Breach Brood
Otherworld Kazordoon,gold coins,,,,,,1,Instable Breach Brood|Instable Sparkion
Otherworld Kazordoon,plasma pearls,23506,175,151,325,2026-09-14 23:36,1,Instable Breach Brood
Otherworld Kazordoon,platinum coins,,,,,,1,Instable Breach Brood|Instable Sparkion
Medusa Tower - RP 229 (150%),assassin stars,7368,4,1,15,2026-09-14 23:28,1,Behemoth
Medusa Tower - RP 229 (150%),battle stones,11447,136,128,290,2026-09-14 23:31,1,Behemoth
Medusa Tower - RP 229 (150%),blank runes,3147,9,6,,2026-09-14 23:19,1,Clay Guardian
Medusa Tower - RP 229 (150%),double axes,3275,450,272,899,2026-09-14 23:25,1,Behemoth
